"id","skills","interests","marks","career_option","roadmap"
"1","skills","interests","0","career_option",NULL
"2","Python"," Machine Learning","85"," Data Scientist","Learn TensorFlow, Pandas, NumPy, Statistics, Data Visualization"
"3","HTML"," CSS;javascript","70","web developer","Master React, Node.js, Bootstrap, Build full-stack projects"
"4","Java"," Problem Solving","78"," Software Engineer","Practice DSA, OOP concepts, System Design"
"5","TensorFlow"," Deep Learning","88"," AI Engineer","Study Keras, PyTorch, Neural Networks, NLP"
"6","AWS"," Cloud Computing","82"," Cloud Engineer","Learn Docker, Kubernetes, Terraform, Cloud Security"
"7","Linux"," Network Security","80"," Cybersecurity Analyst","Practice Ethical Hacking, Firewalls, Cryptography"
"8","Solidity"," Blockchain","84"," Blockchain Developer","Explore Ethereum, Smart Contracts, Hyperledger"
"9","Docker"," Automation","76"," DevOps Engineer","CI/CD pipelines, Jenkins, Ansible, Kubernetes"
"10","Figma"," Creativity","75"," UI/UX Designer","Wireframing, Prototyping, Accessibility, Design Thinking"
"11","Photoshop"," Illustration","72"," Graphic Designer","Branding, Visual Design, Adobe Illustrator"
"12","Maya"," Animation","79"," Animator","Learn Blender, Maya, Storyboarding, Rendering"
"13","Unity"," Game Design","83"," Game Designer","Study Unity, C#, Game Physics, Level Design"
"14","Excel"," Analytics","81"," Business Analyst","Master Power BI, SQL, Data Visualization"
"15","Finance"," Accounting","85"," Chartered Accountant","Learn Auditing, Taxation, ERP Systems"
"16","Marketing"," SEO","77"," Digital Marketer","SEO, Google Ads, Analytics, Content Strategy"
"17","Communication"," Leadership","80"," HR Specialist","Leadership, Communication, People Management"
"18","Biology"," Research","90"," Doctor","Study Anatomy, Pharmacology, Clinical Practice"
"19","Chemistry"," Pharmacology","86"," Pharmacist","Learn Drug Formulation, Biochemistry, Healthcare Systems"
"20","Biotech"," Innovation","88"," Biotechnologist","Research Genetics, Innovation, Lab Techniques"
"21","Statistics"," Data Visualization","84"," Data Analyst","Learn Excel, Power BI, SQL, Data Visualization"
"22","Teaching"," Communication","74"," Teacher","Pedagogy, Communication, Curriculum Design"
"23","Law"," Public Speaking","79"," Lawyer","Legal Research, Advocacy, Policy Analysis"
"24","Psychology"," Counseling","82"," Psychologist","Counseling, Human Behavior, Research Methods"
"25","Robotics"," AI","91"," Robotics Engineer","Learn AI, Automation, Hardware Design"
"26","Management"," Strategy","83"," Product Manager","Strategy, Planning, Market Research"
"27","Writing"," Creativity","78"," Content Strategist","Creativity, Writing, SEO, Branding"
"28",,,"0",,NULL
"29","Python"," Data Analysis","84"," Data Analyst","Learn Excel, Power BI, SQL, Data Visualization"
"30","R"," Statistics","86"," Data Scientist","Learn TensorFlow, Pandas, NumPy, Statistics, Data Visualization"
"31","JavaScript"," Frontend Design","73"," Web Developer","Master React, Node.js, Bootstrap, Build full-stack projects"
"32","React"," UI Development","77"," Frontend Engineer","Master React, Angular, Responsive Design"
"33","Node.js"," Backend Systems","80"," Backend Developer","Learn APIs, Databases, Server Architecture"
"34","PHP"," Web Applications","75"," Full Stack Developer","Combine Frontend + Backend, Deploy Projects"
"35","SQL"," Database Management","82"," Database Administrator","Master SQL, Database Security, Optimization"
"36","AWS"," Cloud Infrastructure","88"," Cloud Architect","Learn AWS, Azure, Infrastructure Automation"
"37","Azure"," DevOps","83"," DevOps Engineer","CI/CD pipelines, Jenkins, Ansible, Kubernetes"
"38","Linux"," Network Security","79"," Cybersecurity Specialist","Network Protection, Ethical Hacking, Risk Analysis"
"39","TensorFlow"," Deep Learning","90"," AI Engineer","Study Keras, PyTorch, Neural Networks, NLP"
"40","PyTorch"," Neural Networks","87"," Machine Learning Engineer","Study Algorithms, Deep Learning, Model Optimization"
"41","C++"," Algorithms","81"," Software Developer","Practice DSA, System Design, Clean Code"
"42","C#"," Game Development","76"," Game Developer","Unity, C#, Game Physics, Rendering"
"43","Unity"," 3D Modeling","74"," Game Designer","Study Unity, C#, Game Physics, Level Design"
"44","Figma"," UX Research","72"," UX Researcher","User Testing, Data Analysis, Design Thinking"
"45","Photoshop"," Branding","78"," Graphic Designer","Branding, Visual Design, Adobe Illustrator"
"46","Illustrator"," Creativity","80"," Visual Designer","Branding, Typography, Adobe Tools"
"47","Premiere Pro"," Video Editing","85"," Video Editor","Premiere Pro, After Effects, Storytelling"
"48","After Effects"," Animation","82"," Motion Graphics Artist","Animation, Visual Effects, Creativity"
"49","Excel"," Business Analytics","83"," Business Analyst","Master Power BI, SQL, Data Visualization"
"50","Power BI"," Data Visualization","86"," Data Visualization Expert","Power BI, Tableau, Advanced Visualization"
"51","Finance"," Investment","88"," Financial Analyst","Investment, Risk Management, Excel Modeling"
"52","Accounting"," Auditing","84"," Chartered Accountant","Learn Auditing, Taxation, ERP Systems"
"53","Marketing"," Social Media","79"," Digital Marketing Specialist","Social Media, Branding, Analytics"
"54","SEO"," Content Strategy","77"," SEO Analyst","Keyword Research, Content Optimization"
"55","Communication"," Negotiation","81"," HR Manager","Leadership, Negotiation, Team Building"
"56","Leadership"," Management","85"," Project Manager","Planning, Resource Management, Agile Tools"
"57","Strategy"," Planning","87"," Product Manager","Strategy, Planning, Market Research"
"58","Public Speaking"," Law","80"," Corporate Lawyer","Policy, Compliance, Corporate Law"
"59","Legal Research"," Policy","82"," Legal Advisor","Legal Research, Contracts, Advisory"
"60","Psychology"," Counseling","84"," Psychologist","Counseling, Human Behavior, Research Methods"
"61","Education"," Mentoring","78"," Academic Counselor","Mentoring, Guidance, Student Development"
"62","Teaching"," Pedagogy","75"," School Teacher","Pedagogy, Curriculum Design, Communication"
"63","Research"," Innovation","89"," Research Scientist","Innovation, Experimentation, Data Analysis"
"64","Biology"," Genetics","91"," Genetic Engineer","Biotechnology, DNA Research, Lab Work"
"65","Chemistry"," Pharmaceuticals","88"," Pharmacist","Learn Drug Formulation, Biochemistry, Healthcare Systems"
"66","Physics"," Robotics","90"," Robotics Engineer","Learn AI, Automation, Hardware Design"
