skills,interests,marks,career_option
Python, Machine Learning,85, Data Scientist
HTML, CSS;javascript,70,web developer
Java, Problem Solving,78, Software Engineer
TensorFlow, Deep Learning,88, AI Engineer
AWS, Cloud Computing,82, Cloud Engineer
Linux, Network Security,80, Cybersecurity Analyst
Solidity, Blockchain,84, Blockchain Developer
Docker, Automation,76, DevOps Engineer
Figma, Creativity,75, UI/UX Designer
Photoshop, Illustration,72, Graphic Designer
Maya, Animation,79, Animator
Unity, Game Design,83, Game Designer
Excel, Analytics,81, Business Analyst
Finance, Accounting,85, Chartered Accountant
Marketing, SEO,77, Digital Marketer
Communication, Leadership,80, HR Specialist
Biology, Research,90, Doctor
Chemistry, Pharmacology,86, Pharmacist
Biotech, Innovation,88, Biotechnologist
Statistics, Data Visualization,84, Data Analyst
Teaching, Communication,74, Teacher
Law, Public Speaking,79, Lawyer
Psychology, Counseling,82, Psychologist
Robotics, AI,91, Robotics Engineer
Management, Strategy,83, Product Manager
Writing, Creativity,78, Content Strategist
,,,
Python, Data Analysis,84, Data Analyst
R, Statistics,86, Data Scientist
JavaScript, Frontend Design,73, Web Developer
React, UI Development,77, Frontend Engineer
Node.js, Backend Systems,80, Backend Developer
PHP, Web Applications,75, Full Stack Developer
SQL, Database Management,82, Database Administrator
AWS, Cloud Infrastructure,88, Cloud Architect
Azure, DevOps,83, DevOps Engineer
Linux, Network Security,79, Cybersecurity Specialist
TensorFlow, Deep Learning,90, AI Engineer
PyTorch, Neural Networks,87, Machine Learning Engineer
C++, Algorithms,81, Software Developer
C#, Game Development,76, Game Developer
Unity, 3D Modeling,74, Game Designer
Figma, UX Research,72, UX Researcher
Photoshop, Branding,78, Graphic Designer
Illustrator, Creativity,80, Visual Designer
Premiere Pro, Video Editing,85, Video Editor
After Effects, Animation,82, Motion Graphics Artist
Excel, Business Analytics,83, Business Analyst
Power BI, Data Visualization,86, Data Visualization Expert
Finance, Investment,88, Financial Analyst
Accounting, Auditing,84, Chartered Accountant
Marketing, Social Media,79, Digital Marketing Specialist
SEO, Content Strategy,77, SEO Analyst
Communication, Negotiation,81, HR Manager
Leadership, Management,85, Project Manager
Strategy, Planning,87, Product Manager
Public Speaking, Law,80, Corporate Lawyer
Legal Research, Policy,82, Legal Advisor
Psychology, Counseling,84, Psychologist
Education, Mentoring,78, Academic Counselor
Teaching, Pedagogy,75, School Teacher
Research, Innovation,89, Research Scientist
Biology, Genetics,91, Genetic Engineer
Chemistry, Pharmaceuticals,88, Pharmacist
Physics, Robotics,90, Robotics Engineer
AI, Automation,92, AI Researcher
Cloud, Security,85, Cloud Security Engineer
Blockchain, Cryptography,83, Blockchain Developer
IoT, Embedded Systems,86, IoT Engineer
Data Mining, Big Data,88, Big Data Engineer
